Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_n,char_a,char_i,char_t,char_o,char_r,char_d,char_s,char_l,char_h,char_g,char_m,char_c,char_u,char_v,char_w,char_k,char_p,char_b,char_j,char_z,Language
Anonymous,e,17.67,n,9.76,a,6.94,i,6.86,t,6.81,o,6.58,r,6.23,d,5.66,s,4.2,l,3.53,17.67,9.76,6.94,6.86,6.81,6.58,6.23,5.66,4.2,3.53,3.47,3.04,2.41,2.3,2.13,1.9,1.72,1.64,1.57,1.51,,,Dutch
D' Arbez,e,18.72,n,10.71,a,7.86,d,6.27,i,6.2,t,6.19,o,6.0,r,5.79,s,3.62,l,3.47,18.72,10.71,7.86,6.2,6.19,6.0,5.79,6.27,3.62,3.47,3.21,3.34,2.16,,1.74,2.15,1.81,2.26,,1.43,1.72,1.6,Dutch
Emile Amelineau,e,17.12,n,9.41,t,7.42,o,6.98,a,6.66,i,6.64,r,6.17,d,5.95,s,4.41,l,3.36,17.12,9.41,6.66,6.64,7.42,6.98,6.17,5.95,4.41,3.36,3.09,3.05,2.15,2.08,2.12,1.95,1.69,1.5,1.8,1.76,,,Dutch
Emile Deschamps,e,18.63,n,10.7,a,7.54,t,6.48,o,6.28,r,6.13,i,6.08,d,6.0,s,3.73,l,3.51,18.63,10.7,7.54,6.08,6.48,6.28,6.13,6.0,3.73,3.51,2.96,3.18,2.27,1.46,1.87,2.34,1.63,2.09,1.48,1.6,,,Dutch
George Washington Bacon,e,18.48,n,10.32,a,7.07,i,6.68,d,6.52,r,6.36,t,6.33,o,6.1,g,3.66,s,3.64,18.48,10.32,7.07,6.68,6.33,6.1,6.36,6.52,3.64,3.56,2.92,3.66,2.09,1.58,1.65,2.5,1.81,1.68,,1.49,1.6,,Dutch
Gerlacus Ribbius,e,17.28,n,9.84,t,7.23,a,7.18,i,6.82,o,6.76,r,5.97,d,5.05,s,4.18,l,3.57,17.28,9.84,7.18,6.82,7.23,6.76,5.97,5.05,4.18,3.57,3.08,2.89,2.36,1.7,2.2,1.89,1.64,2.17,1.6,,1.82,,Dutch
Hugo de Vries,e,18.22,n,9.96,a,7.23,o,6.47,r,6.46,t,6.36,i,6.01,d,5.91,s,4.15,l,3.76,18.22,9.96,7.23,6.01,6.36,6.47,6.46,5.91,4.15,3.76,2.87,3.61,1.93,1.7,2.07,2.27,1.82,1.95,1.38,1.69,,,Dutch
Jos. J. Schürmann,e,17.73,n,9.76,a,7.35,t,6.8,i,6.58,r,6.39,o,6.35,d,5.17,s,3.93,l,3.66,17.73,9.76,7.35,6.58,6.8,6.35,6.39,5.17,3.93,3.66,3.13,3.05,2.43,1.8,2.15,2.2,1.56,2.14,,1.48,1.7,,Dutch
Jules Verne,e,18.51,n,10.34,a,7.18,i,6.71,t,6.29,o,6.18,d,6.07,r,5.74,l,3.58,s,3.55,18.51,10.34,7.18,6.71,6.29,6.18,5.74,6.07,3.55,3.58,3.14,3.02,2.33,1.44,1.83,2.23,1.98,2.72,,,1.72,1.65,Dutch
Ludovic Halévy,e,17.97,n,9.53,a,7.55,i,7.04,t,6.74,o,5.89,r,5.82,d,5.16,s,3.46,h,3.44,17.97,9.53,7.55,7.04,6.74,5.89,5.82,5.16,3.46,3.39,3.44,3.18,2.47,,2.04,1.98,1.95,2.22,,1.48,2.63,1.86,Dutch
Ludwig Rellstab,e,18.94,n,9.88,i,6.6,a,6.52,d,6.46,r,6.29,o,6.12,t,5.83,l,3.63,h,3.59,18.94,9.88,6.52,6.6,5.83,6.12,6.29,6.46,3.56,3.63,3.59,3.37,2.26,,1.67,2.26,1.93,2.42,,1.43,2.06,1.83,Dutch
M. E. Hume-Griffith,e,18.56,n,10.67,a,7.62,o,6.51,t,6.32,r,6.23,i,6.14,d,5.76,s,3.57,l,3.34,18.56,10.67,7.62,6.14,6.32,6.51,6.23,5.76,3.57,3.34,3.01,3.12,2.4,,1.79,2.3,2.11,2.16,,1.38,1.56,1.56,Dutch
Paulus Adrianus Daum,e,17.99,n,9.69,a,8.05,i,6.58,o,6.27,t,6.17,d,5.74,r,5.66,h,4.15,l,3.52,17.99,9.69,8.05,6.58,6.17,6.27,5.66,5.74,3.39,3.52,4.15,3.27,2.46,,1.68,1.98,1.84,2.31,,1.48,2.25,1.85,Dutch
Roald Amundsen,e,19.28,n,10.91,a,6.93,t,6.69,o,6.08,i,5.96,d,5.89,r,5.69,s,3.67,l,3.56,19.28,10.91,6.93,5.96,6.69,6.08,5.69,5.89,3.67,3.56,3.07,3.26,2.18,,1.79,2.3,2.03,2.21,1.5,1.55,,1.56,Dutch
Various,e,19.11,n,10.83,a,7.24,i,6.35,r,6.17,d,6.1,o,6.09,t,6.06,s,3.71,l,3.63,19.11,10.83,7.24,6.35,6.06,6.09,6.17,6.1,3.71,3.63,2.97,3.31,2.1,,1.7,2.49,1.66,2.18,,1.53,1.55,1.49,Dutch
