Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
'A Highland Seer',e,12.27,t,9.09,o,8.1,a,7.39,n,7.25,i,7.22,r,6.71,s,6.45,h,4.45,l,3.88,12.27,9.09,8.1,7.39,7.25,7.22,6.71,6.45,4.45,3.88,3.6,3.4,3.12,2.84,2.37,2.28,2.22,1.94,1.78,1.54,,,,,,English
(Illustrated by Blanche Fisher Wright),e,11.97,t,8.77,a,8.09,o,7.74,n,6.51,i,6.41,r,5.72,h,5.71,s,5.47,l,5.19,11.97,8.77,7.74,8.09,6.51,6.41,5.72,5.47,5.71,5.19,4.46,2.64,2.5,1.81,2.68,1.99,2.26,2.79,2.07,2.62,,,,,,English
A London Antiquary,e,11.58,t,8.3,o,8.3,a,8.29,n,7.13,r,6.83,s,6.67,i,6.64,h,4.64,l,4.2,11.58,8.3,8.3,8.29,7.13,6.64,6.83,6.67,4.64,4.2,3.64,3.23,2.75,2.33,2.45,2.38,2.54,1.87,1.75,1.77,,,,,,English
A. A. Milne,e,11.63,t,9.61,o,8.3,a,8.02,i,6.92,n,6.67,h,6.55,s,5.77,r,5.19,d,4.46,11.63,9.61,8.3,8.02,6.67,6.92,5.19,5.77,6.55,4.27,4.46,2.06,2.93,1.87,2.22,1.76,2.17,2.64,1.83,2.68,,,,,,English
A. C. Bradley,e,12.87,t,9.61,a,7.8,i,7.6,o,7.5,s,7.32,n,6.84,h,6.29,r,5.67,l,3.92,12.87,9.61,7.5,7.8,6.84,7.6,5.67,7.32,6.29,3.92,3.61,2.82,2.57,2.52,2.45,1.83,1.79,1.62,1.43,1.81,,,,,,English
A. C. Hobbs,e,12.68,t,10.09,o,7.88,i,6.92,a,6.91,n,6.78,s,6.15,r,6.06,h,5.77,l,4.09,12.68,10.09,7.88,6.91,6.78,6.92,6.06,6.15,5.77,4.09,3.48,3.76,2.53,2.46,2.32,2.24,1.68,1.65,2.06,1.72,,,,,,English
A. Conan Doyle,e,12.27,t,9.07,a,8.1,o,7.78,i,7.0,n,6.64,h,6.59,s,6.24,r,5.76,d,4.25,12.27,9.07,7.78,8.1,6.64,7.0,5.76,6.24,6.59,3.97,4.25,2.49,2.99,2.09,2.7,1.64,1.85,2.17,1.48,2.56,,,,,,English
A. E. (Arno Erdman) Schmidt,e,12.68,t,9.69,a,7.94,o,7.21,r,7.14,i,6.59,n,6.54,s,6.52,h,5.16,l,3.87,12.68,9.69,7.21,7.94,6.54,6.59,7.14,6.52,5.16,3.87,3.42,3.0,3.13,2.66,2.42,2.5,1.98,1.7,1.61,1.83,,,,,,English
A. E. Housman,e,12.23,t,9.08,o,8.03,a,7.43,n,7.06,i,6.53,r,6.42,s,5.95,h,5.65,l,4.89,12.23,9.08,8.03,7.43,7.06,6.53,6.42,5.95,5.65,4.89,4.37,2.21,2.92,2.13,2.43,1.75,2.27,2.16,1.6,2.47,,,,,,English
A. M. Barnard,e,12.67,t,8.31,a,8.25,o,7.46,n,7.0,i,6.79,r,6.27,s,6.24,h,5.8,d,4.65,12.67,8.31,7.46,8.25,7.0,6.79,6.27,6.24,5.8,4.14,4.65,2.4,2.84,2.21,2.73,1.85,2.02,2.33,1.38,2.3,,,,,,English
A. T. Mahan,e,12.83,t,9.64,a,8.0,o,7.39,n,7.32,i,6.93,s,6.34,r,6.2,h,5.97,d,3.95,12.83,9.64,7.39,8.0,7.32,6.93,6.2,6.34,5.97,3.69,3.95,3.06,2.56,2.94,2.17,2.04,1.89,1.58,1.49,1.98,,,,,,English
A. W. Tozer,e,12.65,t,9.51,o,8.04,i,7.45,a,7.2,n,6.89,s,6.5,h,6.11,r,5.94,l,4.04,12.65,9.51,8.04,7.2,6.89,7.45,5.94,6.5,6.11,4.04,3.78,2.58,2.75,2.61,2.26,1.81,2.15,1.81,1.52,2.14,,,,,,English
Abd Salam Shabeeny,e,12.59,t,9.41,a,8.52,o,7.81,i,6.92,n,6.77,r,6.62,s,6.07,h,5.63,d,3.81,12.59,9.41,7.81,8.52,6.77,6.92,6.62,6.07,5.63,3.52,3.81,3.14,2.8,2.63,2.68,1.92,1.76,1.66,1.75,1.69,,,,,,English
Abraham Lincoln,e,12.25,t,9.51,o,8.09,a,7.65,n,7.29,i,7.17,r,6.26,s,5.89,h,5.11,l,4.08,12.25,9.51,8.09,7.65,7.29,7.17,6.26,5.89,5.11,4.08,4.01,3.04,2.82,2.33,2.42,2.07,2.12,1.92,1.52,2.16,,,,,,English
Abram J. Dittenhoefer,e,12.76,t,9.48,a,7.77,o,7.66,n,7.66,i,7.26,r,6.28,s,5.86,h,5.2,l,4.14,12.76,9.48,7.66,7.77,7.66,7.26,6.28,5.86,5.2,4.14,4.0,3.25,2.53,2.44,2.4,2.06,1.9,1.74,1.51,1.93,,,,,,English
