Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_a,char_i,char_t,char_n,char_e,char_s,char_o,char_l,char_ä,char_k,char_u,char_r,char_h,char_m,char_v,char_p,char_j,char_y,char_d,char_c,char_f,char_ö,char_b,char_g,Language
Alexander Pushkin,a,10.91,i,10.49,t,9.48,n,8.6,e,8.15,s,6.75,o,5.39,l,5.36,ä,5.06,k,4.89,10.91,10.49,9.48,8.6,8.15,6.75,5.39,5.36,5.06,4.89,4.6,3.26,2.86,2.74,2.57,1.95,1.87,1.49,1.14,0.73,,,,,Finnish
August Blanche,a,10.24,i,10.24,n,9.49,t,9.21,e,9.17,s,6.63,o,5.51,u,5.23,l,5.01,ä,4.48,10.24,10.24,9.21,9.49,9.17,6.63,5.51,5.01,4.48,4.41,5.23,3.22,2.4,3.28,2.27,2.01,1.39,1.71,1.16,0.72,,,,,Finnish
Benjamin Constant,i,10.65,n,10.28,t,10.14,a,10.03,e,8.72,s,6.56,ä,5.67,l,5.66,o,5.18,u,4.96,10.03,10.65,10.14,10.28,8.72,6.56,5.18,5.66,5.67,4.36,4.96,2.21,2.57,3.51,2.06,1.38,1.47,1.73,1.09,0.37,,,,,Finnish
Björnstjerne Björnson,i,11.07,a,10.84,n,9.64,t,9.51,e,8.24,s,6.87,ä,6.08,l,5.59,k,4.94,o,4.81,10.84,11.07,9.51,9.64,8.24,6.87,4.81,5.59,6.08,4.94,4.67,2.36,3.03,2.79,1.98,1.72,1.57,1.61,0.82,,0.4,,,,Finnish
Charles G. D. Roberts,a,11.67,i,10.92,n,9.39,t,9.09,e,7.8,s,6.82,ä,5.83,l,5.67,k,5.36,o,4.56,11.67,10.92,9.09,9.39,7.8,6.82,4.56,5.67,5.83,5.36,4.55,2.58,2.57,3.23,2.43,1.97,1.62,1.64,0.91,,,0.33,,,Finnish
"Friedrich Heinrich Karl, Freiherr de La Motte-Fouqué",a,11.13,i,10.71,n,9.6,t,9.11,e,8.5,s,6.96,l,5.82,ä,5.22,u,4.75,k,4.63,11.13,10.71,9.11,9.6,8.5,6.96,4.44,5.82,5.22,4.63,4.75,2.69,2.91,3.03,2.29,1.7,1.67,1.71,1.22,0.4,,,,,Finnish
H. G. Wells,i,10.65,a,10.22,t,9.31,n,9.18,e,8.92,s,6.56,l,5.54,o,5.52,u,4.72,k,4.48,10.22,10.65,9.31,9.18,8.92,6.56,5.52,5.54,4.29,4.48,4.72,3.26,2.42,3.23,1.92,2.0,1.54,1.74,1.22,0.84,,,,,Finnish
Henrik Pontoppidan,a,10.46,i,10.44,n,9.83,t,9.64,e,8.35,s,6.64,ä,5.95,l,5.61,o,5.06,u,5.0,10.46,10.44,9.64,9.83,8.35,6.64,5.06,5.61,5.95,4.93,5.0,2.37,3.02,2.61,2.36,1.75,1.7,1.71,0.82,0.37,,,,,Finnish
I. S. Turgenev,a,11.61,i,10.84,n,9.69,t,9.3,e,8.2,s,7.08,ä,5.82,l,5.67,k,4.81,o,4.55,11.61,10.84,9.3,9.69,8.2,7.08,4.55,5.67,5.82,4.81,4.34,2.43,2.92,2.92,2.65,1.66,1.52,1.55,0.92,0.34,,,,,Finnish
Jack London,a,11.41,i,10.74,t,9.4,n,9.07,e,8.03,s,6.88,l,5.49,ä,5.35,k,5.15,o,5.08,11.41,10.74,9.4,9.07,8.03,6.88,5.08,5.49,5.35,5.15,4.63,2.68,2.64,2.94,2.09,2.11,2.0,1.7,0.81,0.35,,,,,Finnish
James Oliver Curwood,a,10.86,i,10.34,n,9.25,t,9.02,e,8.22,s,6.46,l,5.8,ä,5.72,k,5.24,o,5.17,10.86,10.34,9.02,9.25,8.22,6.46,5.17,5.8,5.72,5.24,4.77,2.57,2.86,3.16,2.54,1.8,1.81,1.63,1.1,,,,0.38,,Finnish
Jon Olof Åberg,a,10.38,i,10.1,t,9.41,n,9.24,e,8.29,s,7.06,o,5.46,l,5.42,ä,5.4,k,4.59,10.38,10.1,9.41,9.24,8.29,7.06,5.46,5.42,5.4,4.59,4.58,2.93,2.83,2.65,2.16,2.02,1.73,1.69,1.19,0.73,,,,,Finnish
Jonas Lie,a,11.17,i,10.96,n,10.04,t,8.46,e,8.01,s,7.38,l,6.08,ä,5.33,u,4.99,k,4.88,11.17,10.96,8.46,10.04,8.01,7.38,4.82,6.08,5.33,4.88,4.99,2.33,2.46,3.23,2.24,1.9,1.7,1.59,0.97,0.31,,,,,Finnish
Juhani Aho,a,11.8,i,10.73,n,9.39,t,9.3,e,8.13,s,7.87,l,5.66,o,5.11,ä,5.11,k,4.96,11.8,10.73,9.3,9.39,8.13,7.87,5.11,5.66,5.11,4.96,4.82,2.16,2.18,3.29,2.15,1.54,1.86,1.68,0.95,,,0.35,,,Finnish
Kasimir Leino,a,10.97,i,10.11,n,10.06,t,8.62,e,7.82,s,6.56,u,5.92,o,5.87,l,5.51,k,5.04,10.97,10.11,8.62,10.06,7.82,6.56,5.87,5.51,3.83,5.04,5.92,2.85,2.76,3.11,2.42,1.71,1.8,1.87,0.93,0.5,,,,,Finnish
Kyösti Wilkuna,e,10.56,t,9.75,i,9.09,a,8.68,n,8.0,o,6.93,s,6.02,r,5.08,l,4.42,u,4.12,8.68,9.09,9.75,8.0,10.56,6.02,6.93,4.42,2.37,2.9,4.12,5.08,2.62,3.17,,2.33,,1.82,2.16,2.24,1.34,,,1.63,Finnish
