Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_s,char_a,char_t,char_n,char_r,char_i,char_o,char_u,char_l,char_d,char_c,char_m,char_p,char_é,char_v,char_g,char_h,char_f,char_b,char_q,char_y,char_j,char_w,Language
Alaeddine Haidar,e,14.03,s,8.04,a,7.64,t,7.55,n,7.29,r,7.0,i,6.72,o,5.86,u,5.65,l,5.28,14.03,8.04,7.64,7.55,7.29,7.0,6.72,5.86,5.65,5.28,3.72,3.19,2.71,2.64,1.8,1.4,1.39,1.33,1.26,1.1,,,,,French
Alexandre Dumas,e,14.45,a,7.93,t,7.52,s,7.45,i,7.33,n,6.84,r,6.77,u,6.45,l,5.54,o,5.44,14.45,7.45,7.93,7.52,6.84,6.77,7.33,5.44,6.45,5.54,3.64,3.15,2.95,2.74,1.79,1.84,,0.92,1.07,0.92,1.2,,,,French
Anonymous,e,16.95,s,7.88,a,7.07,t,6.92,i,6.84,n,6.64,o,6.59,r,6.49,u,6.0,l,5.53,16.95,7.88,7.07,6.92,6.64,6.49,6.84,6.59,6.0,5.53,3.49,3.0,3.27,2.37,,1.95,1.1,1.45,1.12,,1.27,0.94,,,French
Benjamin Constant,e,14.97,s,8.32,i,7.27,t,7.15,a,7.08,n,7.02,r,6.79,u,6.14,o,5.59,l,5.5,14.97,8.32,7.08,7.15,7.02,6.79,7.27,5.59,6.14,5.5,3.39,3.07,3.01,3.0,2.2,1.56,0.9,,1.07,0.82,1.27,,,,French
Charles de Rémusat,e,14.73,s,8.25,i,7.96,t,7.72,n,7.34,a,6.89,r,5.93,u,5.83,l,5.8,o,5.46,14.73,8.25,6.89,7.72,7.34,5.93,7.96,5.46,5.83,5.8,3.82,3.57,2.66,3.06,2.2,1.25,0.93,,0.93,0.91,1.41,,,,French
Charles Dickens and Wilkie Collins,e,15.16,s,7.57,a,7.42,i,7.35,t,7.09,n,6.95,r,6.89,u,6.1,o,5.8,l,5.05,15.16,7.57,7.42,7.09,6.95,6.89,7.35,5.8,6.1,5.05,3.59,2.91,3.05,2.58,1.54,2.18,1.18,,1.06,0.98,1.07,,,,French
Claude Anet,e,14.58,a,7.86,t,7.54,s,7.44,i,7.23,r,6.98,n,6.66,o,5.86,u,5.18,l,4.7,14.58,7.44,7.86,7.54,6.66,6.98,7.23,5.86,5.18,4.7,3.35,2.96,3.27,2.82,1.32,1.4,1.41,1.73,1.39,,,,1.09,,French
Ferdinand Berthier,e,14.53,s,8.04,i,7.14,t,7.09,a,7.08,r,6.95,n,6.93,u,6.09,l,5.48,o,5.44,14.53,8.04,7.08,7.09,6.93,6.95,7.14,5.44,6.09,5.48,4.29,3.23,3.01,2.83,2.4,1.5,0.95,,1.08,1.11,0.98,,,,French
George Sand,e,14.92,a,7.99,s,7.7,i,7.59,t,7.24,n,6.79,r,6.52,u,6.15,o,5.59,l,5.17,14.92,7.7,7.99,7.24,6.79,6.52,7.59,5.59,6.15,5.17,3.53,2.88,3.27,2.75,1.75,1.89,0.84,,1.12,0.88,1.21,,,,French
Hendrik Conscience,e,15.15,a,8.07,s,7.56,i,7.34,t,7.06,n,6.79,r,6.77,u,5.76,o,5.46,l,4.95,15.15,7.56,8.07,7.06,6.79,6.77,7.34,5.46,5.76,4.95,3.44,2.86,3.88,2.88,1.76,1.82,,,1.16,0.9,1.11,,0.97,,French
Jean François de La Harpe,e,14.81,s,8.5,a,7.55,t,7.07,r,7.05,n,6.92,i,6.72,u,6.56,l,5.82,o,5.25,14.81,8.5,7.55,7.07,6.92,7.05,6.72,5.25,6.56,5.82,3.96,2.89,2.48,2.85,1.63,1.45,1.28,,1.13,1.01,1.4,,,,French
Jean Pérez,e,15.6,s,8.71,n,7.11,t,7.08,l,6.76,a,6.69,i,6.53,r,6.51,u,6.2,o,5.4,15.6,8.71,6.69,7.08,7.11,6.51,6.53,5.4,6.2,6.76,3.76,3.12,2.49,2.95,1.88,1.28,0.97,,1.21,1.12,1.03,,,,French
Jean-François de La Harpe,e,14.97,s,8.75,a,7.31,n,7.14,r,7.02,t,7.0,i,6.67,u,6.58,l,5.57,o,5.35,14.97,8.75,7.31,7.0,7.14,7.02,6.67,5.35,6.58,5.57,4.07,2.86,2.58,2.87,1.53,1.43,1.13,,1.11,0.93,1.44,,,,French
Joseph Bertrand,e,14.53,s,8.14,a,7.4,t,7.21,i,7.13,n,7.04,r,6.92,u,5.94,l,5.64,o,5.23,14.53,8.14,7.4,7.21,7.04,6.92,7.13,5.23,5.94,5.64,4.05,3.43,2.88,3.02,2.45,1.39,1.0,,1.08,0.88,1.08,,,,French
Jules Lemaître,e,13.84,t,8.65,a,7.54,i,7.37,r,6.94,s,6.87,n,6.64,o,6.42,l,5.43,u,5.42,13.84,6.87,7.54,8.65,6.64,6.94,7.37,6.42,5.42,5.43,3.4,3.09,2.51,2.81,,1.34,1.66,1.81,1.56,1.34,,0.94,,,French
Jules Lermina,e,14.01,t,8.57,s,7.59,i,7.47,r,7.16,a,6.7,o,6.52,n,6.35,u,5.43,l,5.0,14.01,7.59,6.7,8.57,6.35,7.16,7.47,6.52,5.43,5.0,3.65,3.49,2.48,2.99,1.68,1.06,1.37,1.52,1.49,1.13,,,,,French
Louis Gastine,e,13.99,s,7.98,a,7.69,t,7.35,n,7.3,r,7.13,i,6.95,l,5.93,o,5.58,u,5.43,13.99,7.98,7.69,7.35,7.3,7.13,6.95,5.58,5.43,5.93,3.93,3.19,2.77,3.41,2.02,1.37,1.18,,1.25,1.03,0.89,,,,French
Marc L'escarbot,e,12.88,t,8.73,o,8.13,r,7.51,i,7.1,a,6.78,n,6.69,s,5.79,u,4.26,c,3.78,12.88,5.79,6.78,8.73,6.69,7.51,7.1,8.13,4.26,3.78,3.5,3.78,2.53,2.8,,,2.29,2.73,2.21,1.6,,1.68,,1.3,French
Marcel Proust,e,14.76,a,8.17,s,7.67,i,7.64,t,7.23,n,6.96,u,6.42,r,6.31,l,5.59,o,4.99,14.76,7.67,8.17,7.23,6.96,6.31,7.64,4.99,6.42,5.59,3.65,2.97,3.1,2.8,1.85,1.78,0.81,0.81,1.01,,1.51,,,,French
Mme de Souza,e,15.57,s,7.88,a,7.87,i,7.31,n,6.8,r,6.79,t,6.61,u,6.05,l,5.3,o,5.28,15.57,7.88,7.87,6.61,6.8,6.79,7.31,5.28,6.05,5.3,3.41,2.61,3.52,2.75,1.73,1.72,0.92,,1.06,,1.27,,1.24,,French
Octave Mirbeau,e,15.01,s,8.7,a,7.38,t,6.97,i,6.97,n,6.92,r,6.44,u,6.42,l,5.65,o,5.49,15.01,8.7,7.38,6.97,6.92,6.44,6.97,5.49,6.42,5.65,3.59,2.94,3.02,2.61,1.64,1.6,1.08,,1.09,1.09,1.21,,,,French
Paul Margueritte,e,14.77,s,7.79,a,7.29,i,7.1,t,7.03,n,7.02,r,6.66,l,6.1,u,5.88,o,5.86,14.77,7.79,7.29,7.03,7.02,6.66,7.1,5.86,5.88,6.1,3.74,3.36,2.93,2.76,2.05,1.38,1.19,,1.44,0.95,1.03,,,,French
Stendhal,e,14.52,a,7.96,s,7.43,i,7.39,t,7.26,r,7.0,n,6.61,u,6.1,l,5.59,o,5.5,14.52,7.43,7.96,7.26,6.61,7.0,7.39,5.5,6.1,5.59,3.73,3.01,2.71,2.87,1.68,1.76,1.04,,1.28,1.09,1.19,,,,French
Victor Hugo,e,16.4,s,7.83,a,7.72,t,7.25,i,7.23,n,6.77,r,6.58,u,6.18,l,5.91,o,5.74,16.4,7.83,7.72,7.25,6.77,6.58,7.23,5.74,6.18,5.91,3.54,3.23,2.87,2.81,,1.78,1.0,0.98,1.1,0.97,1.17,,,,French
Voltaire,e,14.68,s,8.07,a,7.62,i,7.39,n,7.21,t,7.08,r,6.89,u,5.83,l,5.49,o,5.15,14.68,8.07,7.62,7.08,7.21,6.89,7.39,5.15,5.83,5.49,3.77,3.18,2.81,2.99,1.98,1.37,1.24,1.04,1.18,,1.21,,,,French
Émile Gaboriau,e,14.22,s,7.74,a,7.48,i,7.35,t,7.32,n,6.95,r,6.86,u,6.03,o,5.84,l,5.54,14.22,7.74,7.48,7.32,6.95,6.86,7.35,5.84,6.03,5.54,3.74,3.22,2.66,2.72,1.67,1.46,1.31,1.26,1.38,1.15,,,,,French
