Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_n,char_s,char_i,char_r,char_t,char_d,char_a,char_h,char_u,char_l,char_c,char_g,char_o,char_m,char_b,char_w,char_f,char_k,char_z,char_p,char_y,char_v,char_q,Language
Albert Schweitzer,e,16.78,n,9.38,s,8.24,i,8.2,r,6.77,t,6.04,d,5.47,a,5.24,h,4.92,u,3.82,16.78,9.38,8.24,8.2,6.77,6.04,5.47,5.24,4.92,3.82,3.18,3.12,3.08,2.71,2.68,1.62,1.55,1.44,1.13,0.92,,,,,German
Alexander Roda Roda,e,15.58,n,9.5,i,8.14,r,7.74,t,6.45,a,6.27,s,5.95,h,4.99,d,4.29,l,3.59,15.58,9.5,5.95,8.14,7.74,6.45,4.29,6.27,4.99,3.48,3.59,3.23,2.84,3.06,2.92,1.99,1.61,1.69,1.47,,1.02,,,,German
Arthur Schopenhauer,e,17.12,n,10.17,i,7.96,r,6.83,s,6.43,t,5.86,d,5.18,a,5.08,h,4.86,l,4.09,17.12,10.17,6.43,7.96,6.83,5.86,5.18,5.08,4.86,3.74,4.09,3.08,3.24,2.5,2.48,1.89,1.76,1.39,1.15,1.05,,,,,German
"Augusta von Wallenrodt, AKA Augusta von Goldstein",e,17.13,n,9.87,i,7.86,r,7.26,t,6.0,s,5.8,h,5.45,d,5.04,a,4.89,l,3.95,17.13,9.87,5.8,7.86,7.26,6.0,5.04,4.89,5.45,3.69,3.95,3.34,2.89,2.61,2.56,1.91,1.68,1.82,1.07,1.08,,,,,German
Bernhard Kellermann,e,17.45,n,9.92,i,7.61,r,7.3,t,6.15,s,5.89,a,5.63,h,5.27,d,4.7,l,3.94,17.45,9.92,5.89,7.61,7.3,6.15,4.7,5.63,5.27,3.47,3.94,3.34,2.93,2.31,2.41,1.93,1.68,1.6,1.39,1.18,,,,,German
Bohuslav Kokoschka,e,15.24,n,9.29,i,8.33,t,6.8,r,6.6,a,6.44,s,5.84,h,5.19,d,4.86,l,3.65,15.24,9.29,5.84,8.33,6.6,6.8,4.86,6.44,5.19,3.59,3.65,3.46,2.68,3.43,2.85,1.89,1.73,1.77,1.25,,1.16,,,,German
Carl Gustav Jung,e,16.81,n,9.96,i,8.58,s,7.69,r,6.58,t,6.27,d,5.09,a,4.68,h,4.45,u,3.85,16.81,9.96,7.69,8.58,6.58,6.27,5.09,4.68,4.45,3.85,3.63,3.04,2.99,2.56,2.33,1.99,1.54,1.46,1.36,0.99,,,,,German
Ernst Jünger,e,17.12,n,10.57,r,7.47,i,7.1,t,5.98,a,5.35,s,5.26,h,4.79,d,4.73,u,4.04,17.12,10.57,5.26,7.1,7.47,5.98,4.73,5.35,4.79,4.04,3.63,3.39,3.22,2.49,2.96,1.83,1.65,1.82,1.29,1.23,,,,,German
Felix Salten,e,15.05,n,9.43,i,8.64,r,6.92,a,6.3,t,6.23,h,6.17,s,5.63,d,4.65,c,4.0,15.05,9.43,5.63,8.64,6.92,6.23,4.65,6.3,6.17,3.83,3.19,4.0,2.62,2.47,3.22,1.82,1.96,1.66,1.13,1.4,,,,,German
Ferdinand Grautoff,e,17.23,n,10.43,r,7.35,i,7.0,s,5.83,a,5.82,t,5.75,d,5.54,h,4.56,u,3.74,17.23,10.43,5.83,7.0,7.35,5.75,5.54,5.82,4.56,3.74,3.59,3.14,2.93,2.73,2.45,1.73,1.56,2.11,1.28,1.19,,,,,German
Ferdinand Hardekopf,e,12.94,t,8.51,i,7.98,n,7.55,r,7.12,a,6.65,o,6.29,s,5.58,h,4.39,d,3.99,12.94,7.55,5.58,7.98,7.12,8.51,3.99,6.65,4.39,3.4,3.28,3.98,2.81,6.29,2.78,1.86,1.82,2.01,,,2.21,1.31,,,German
Franz Kafka,e,16.37,n,9.45,r,7.78,i,7.29,t,6.45,s,5.84,a,5.58,h,5.04,d,4.51,u,3.79,16.37,9.45,5.84,7.29,7.78,6.45,4.51,5.58,5.04,3.79,3.38,3.43,3.31,3.12,2.74,1.74,1.78,1.79,1.18,1.21,,,,,German
Friedrich Nietzsche,e,16.69,n,9.9,i,8.36,s,6.94,r,6.69,t,6.29,d,5.07,a,5.03,h,4.86,l,3.92,16.69,9.9,6.94,8.36,6.69,6.29,5.07,5.03,4.86,3.79,3.92,3.16,3.16,2.26,2.46,1.74,1.85,1.42,1.29,1.15,,,,,German
Friedrich Wilhelm Nietzsche,e,16.51,n,9.54,i,7.95,s,7.17,r,6.93,h,6.13,t,5.8,d,5.28,a,5.11,l,4.2,16.51,9.54,7.17,7.95,6.93,5.8,5.28,5.11,6.13,4.03,4.2,3.75,2.62,2.18,2.73,1.86,1.98,1.32,0.97,1.05,,,,,German
Georg Busse-Palma,e,16.01,n,9.65,i,7.79,r,7.37,t,6.49,s,6.48,a,5.78,h,5.26,d,4.63,u,3.6,16.01,9.65,6.48,7.79,7.37,6.49,4.63,5.78,5.26,3.6,3.47,3.44,2.87,3.34,2.59,1.88,1.72,1.68,1.19,,0.99,,,,German
Gotthold Ephraim Lessing,e,17.06,n,9.9,i,8.18,r,6.7,s,6.06,a,5.75,t,5.74,d,4.87,h,4.66,l,4.28,17.06,9.9,6.06,8.18,6.7,5.74,4.87,5.75,4.66,3.62,4.28,3.21,2.68,3.22,2.43,2.05,1.74,1.81,0.99,,0.95,,,,German
Gunther Plüschow,e,16.06,n,10.5,i,7.38,r,6.91,a,5.95,t,5.89,s,5.44,h,5.03,d,4.88,u,4.19,16.06,10.5,5.44,7.38,6.91,5.89,4.88,5.95,5.03,4.19,3.6,3.52,3.16,2.69,2.87,1.88,1.8,1.87,1.26,1.26,,,,,German
Hans Jakob Christoffel vom Grimmelshausen,e,16.77,n,10.14,i,7.99,r,6.96,t,5.68,a,5.68,h,5.52,s,5.51,d,4.89,l,3.96,16.77,10.14,5.51,7.99,6.96,5.68,4.89,5.68,5.52,3.64,3.96,3.67,2.74,2.66,3.04,1.91,1.95,1.46,1.14,1.04,,,,,German
Heinrich Breitenstein,e,16.87,n,10.3,i,7.76,r,6.97,s,6.53,a,5.96,t,5.46,d,5.13,h,4.76,u,3.74,16.87,10.3,6.53,7.76,6.97,5.46,5.13,5.96,4.76,3.74,3.63,3.25,2.81,2.68,2.72,1.95,1.59,1.64,1.09,1.08,,,,,German
Heinrich Hoffmann,e,13.17,n,8.18,t,8.04,i,7.81,r,7.45,a,6.23,s,5.63,o,5.52,d,4.64,h,4.54,13.17,8.18,5.63,7.81,7.45,8.04,4.64,6.23,4.54,3.82,3.56,3.74,2.52,5.52,2.53,1.87,1.73,2.12,1.1,,2.0,,,,German
Heinrich Mann,e,16.79,n,9.52,i,8.08,r,7.36,t,6.07,s,6.02,a,5.75,h,5.62,d,5.05,c,3.57,16.79,9.52,6.02,8.08,7.36,6.07,5.05,5.75,5.62,3.57,3.41,3.57,2.99,2.33,2.63,1.86,1.67,1.59,1.33,1.1,,,,,German
Heinrich Zschokke,e,15.7,n,9.85,i,8.08,r,7.31,t,5.91,a,5.64,s,5.57,h,5.28,d,5.26,l,4.26,15.7,9.85,5.57,8.08,7.31,5.91,5.26,5.64,5.28,3.59,4.26,3.24,2.71,3.57,2.83,1.98,1.62,1.61,1.06,1.08,,,,,German
Hermann Hesse,e,15.9,n,10.15,i,8.4,r,6.7,a,6.07,t,5.85,s,5.77,h,5.59,d,4.64,c,3.88,15.9,10.15,5.77,8.4,6.7,5.85,4.64,6.07,5.59,3.82,3.59,3.88,2.82,2.36,3.23,1.84,2.12,1.46,1.21,0.94,,,,,German
Hermann Waldemar Otto,e,16.11,n,9.87,i,7.68,r,7.4,s,6.68,t,6.36,a,5.62,h,4.7,d,4.61,u,3.73,16.11,9.87,6.68,7.68,7.4,6.36,4.61,5.62,4.7,3.73,3.63,3.32,2.8,3.36,2.66,2.0,1.53,1.63,1.15,1.08,,,,,German
Johann Gottlieb Fichte,e,16.43,n,9.93,i,8.49,r,7.11,h,5.9,t,5.84,s,5.62,a,5.1,d,4.66,c,3.76,16.43,9.93,5.62,8.49,7.11,5.84,4.66,5.1,5.9,3.65,3.32,3.76,2.9,2.89,2.51,2.35,1.81,1.69,0.95,1.07,,,,,German
Johann Wolfgang von Goethe,e,15.09,n,9.25,i,7.98,r,6.71,t,6.55,s,6.39,h,6.3,a,5.06,d,4.66,u,3.93,15.09,9.25,6.39,7.98,6.71,6.55,4.66,5.06,6.3,3.93,3.83,3.9,2.73,2.77,3.08,1.84,1.82,1.8,1.04,,1.09,,,,German
