Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_o,char_s,char_r,char_n,char_i,char_l,char_d,char_t,char_c,char_u,char_p,char_m,char_g,char_b,char_f,char_y,char_v,char_á,char_q,char_h,char_w,char_í,Language
Alejandro Bizzarri,e,13.51,a,10.75,o,8.48,s,7.62,r,6.67,n,6.49,i,6.27,l,5.54,d,5.12,t,5.0,13.51,10.75,8.48,7.62,6.67,6.49,6.27,5.54,5.12,5.0,4.95,3.42,2.83,2.47,1.29,1.16,1.01,0.95,0.89,0.84,,,,,Spanish
Anonymous,e,13.57,a,9.79,o,9.32,r,7.44,s,6.91,n,6.68,i,6.28,d,6.22,l,5.45,t,4.56,13.57,9.79,9.32,6.91,7.44,6.68,6.28,5.45,6.22,4.56,4.25,3.83,2.42,2.37,1.36,1.46,,1.2,1.17,,0.93,0.9,,,Spanish
Benito Pérez Galdós,e,13.01,a,11.73,o,9.07,s,7.4,n,6.9,r,6.4,l,5.57,i,5.4,d,4.95,t,4.19,13.01,11.73,9.07,7.4,6.4,6.9,5.4,5.57,4.95,4.19,3.99,4.17,2.42,2.96,1.18,1.37,,1.29,1.08,,1.3,1.14,,,Spanish
Carlos Alberto Leumann,a,13.35,e,11.85,o,8.26,n,6.87,s,6.86,r,6.73,i,6.01,l,5.42,d,4.81,u,4.43,11.85,13.35,8.26,6.86,6.73,6.87,6.01,5.42,4.81,4.2,3.95,4.43,2.45,3.02,1.15,1.55,,1.01,1.02,,0.99,1.18,,,Spanish
Jose Rizal,e,11.79,t,9.13,o,8.74,r,7.66,a,7.48,i,7.29,n,6.58,s,5.19,d,3.71,c,3.69,11.79,7.48,8.74,5.19,7.66,6.58,7.29,3.54,3.71,9.13,3.69,3.48,2.99,2.56,2.57,1.71,2.24,1.97,,,,3.05,1.52,,Spanish
José Maria Eça de Queiroz,a,13.13,e,12.63,o,8.65,s,7.45,r,6.87,n,6.84,l,6.21,d,5.25,i,4.88,t,4.11,12.63,13.13,8.65,7.45,6.87,6.84,4.88,6.21,5.25,4.11,3.77,3.96,2.16,2.71,1.17,1.86,,1.13,1.05,,0.83,0.99,,,Spanish
Ludovic Halévy,e,12.44,a,12.23,o,8.67,s,7.54,n,6.94,r,6.65,i,5.53,l,4.94,t,4.82,d,4.57,12.44,12.23,8.67,7.54,6.65,6.94,5.53,4.94,4.57,4.82,3.79,4.0,2.44,3.05,1.11,1.88,,1.26,1.21,,0.91,1.27,,,Spanish
Miguel de Cervantes Saavedra,e,13.51,a,11.73,o,9.34,s,7.63,n,6.61,r,6.16,l,5.4,d,5.3,u,4.75,i,4.75,13.51,11.73,9.34,7.63,6.16,6.61,4.75,5.4,5.3,3.82,3.63,4.75,2.16,2.71,1.06,1.47,,1.53,1.08,,1.96,1.23,,,Spanish
Miguel De Unamuno,e,13.32,a,10.84,o,9.3,s,6.77,n,6.43,r,6.27,i,5.53,l,4.85,d,4.62,u,4.59,13.32,10.84,9.3,6.77,6.27,6.43,5.53,4.85,4.62,4.3,3.46,4.59,2.39,3.12,1.13,1.64,,1.43,,,1.67,1.63,,1.2,Spanish
Oliverio Girondo,e,12.36,a,9.98,o,8.34,r,7.1,s,7.09,t,6.84,n,6.84,i,6.1,l,4.92,d,4.05,12.36,9.98,8.34,7.09,7.1,6.84,6.1,4.92,4.05,6.84,3.91,3.9,2.73,2.4,2.02,1.67,1.62,1.4,,,,2.12,0.9,,Spanish
