Language,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,char_à,char_é,char_y,char_x,char_j,char_í,char_ó,char_w,char_è,char_ò,char_ç,char_k,char_ú,char_ï,char_z,char_ü,char_ñ,char_ø,char_æ,char_ö,char_å,char_â,char_ä,char_û,char_ë,char_ê,char_ô,char_ἄ,char_σ,char_β,char_ε,char_τ,char_ο,char_ς,char_δ,char_ά,char_ῤ,char_ν,char_ῶ,char_ρ,char_γ,char_έ,char_λ,char_ω,char_μ,char_α,char_κ,char_ι,char_θ,char_ῖ,char_ὡ,char_ἔ,char_φ,char_ί,char_π,char_ὸ,char_υ,char_á,char_î,char_ƒ,char_ì,char_ù,char_ψ,char_η,char_œ,char_ἀ,char_ζ,char_ὐ,char_ἰ,char_ό,char_ὁ,char_ῦ,char_ύ,char_ἐ,char_ã,char_غ,char_خ,char_ط,char_ث,char_ت,char_ع,char_ا,char_ص,char_س,char_ض,char_ظ,char_د,char_ة,char_ح,char_ق,char_ى,char_ر,char_ب,char_ج,char_ذ,char_ز,char_ش,char_ێ,char_ل,char_م,char_ن,char_ف,char_ك,char_ڢ,char_و,char_ه,char_ي,char_أ,char_إ,char_آ,char_ώ,char_χ,char_ᾶ,char_ξ,char_ā,char_έ,char_ά,char_ὅ,char_ό,char_ὼ,char_ϕ,char_ἶ,char_ᾢ,char_ύ,char_ῳ,char_ὄ,char_ÿ,char_ῥ,char_ὺ,char_ϗ,char_ὶ,char_ῒ,char_ἃ,char_ᾷ,char_ὴ,char_ו,char_נ,char_ד,char_ה,char_ם,char_ל,char_ע,char_י,char_מ,char_ש,char_ז,char_א,char_ב,char_ὔ,char_ἱ,char_צ,char_ס,char_ר,char_פ,char_ὰ,char_ת,char_ή,char_ך,char_ק,char_ὑ,char_ὲ,char_ὖ,char_ἂ,char_ἡ,char_ἑ,char_ῇ,char_ᾳ,char_ὢ,char_ὕ,char_ὗ,char_ἢ,char_ῷ,char_ὀ,char_ἴ,char_ō,char_ă,char_ŭ,char_ē,char_ṭ,char_ḥ,char_ṣ,char_ḳ,char_ạ,char_ĕ,char_ḍ,char_ẓ,char_ª,char_ſ,char_õ,char_ꝶ,char_ꝓ,char_ʒ,char_ẽ,char_ꝟ,char_ĩ,char_ũ,char_ī,char_ū,char_ἠ,char_ἕ,char_ў,char_ἷ,char_כ,char_ὥ,char_ῆ,char_ῃ,char_ἦ,char_ὤ,char_ἁ,char_ג,char_ȳ,char_ŏ,char_ĭ,char_º,char_ί,char_ὠ,char_ŷ,char_ῲ,char_ý,char_ᾖ,char_ὦ,char_ἥ,char_ἤ,char_ṛ,char_ᾱ,char_ấ,char_ϝ,char_ḫ,char_č,char_ῴ,char_ṷ,char_ṇ,char_ğ,char_ἆ,char_ě,char_ʳ,char_ᵗ,char_ⁿ,char_ᵒ,char_ˡ,char_ⁱ,char_ˢ,char_ᵈ,char_ᵉ,char_ʰ,char_ˣ,char_š,char_µ,char_ή,char_ℨ,char_ß,char_ᾑ,char_ǒ,char_ǔ,char_ˆ,char_ˇ,char_ώ,char_ὃ,char_ΐ,char_ἵ,char_ᵐ,char_ɑ,char_ↄ,char_ð,char_þ,char_ὂ,char_ž,char_ὒ,char_ʹ,char_ח,char_ἲ,char_ἳ,char_ʾ,char_ῡ,char_ῢ,char_ῑ,char_ἒ,char_ᵖ,char_ϙ,char_ἅ,char_ͱ,char_ϲ,char_ϑ,char_ϻ,char_ϊ,char_ȧ,char_ט,char_ן,char_ף,char_ȝ,char_ǽ,char_ἧ,char_ȯ,char_ṅ,char_ϰ,char_明,char_治,char_三,char_十,char_八,char_年,char_六,char_月,char_二,char_日,char_印,char_五,char_訂,char_正,char_增,char_補,char_第,char_版,char_發,char_行,char_九,char_一,char_四,char_英,char_文,char_武,char_士,char_道,char_價,char_金,char_壹,char_圓,char_著,char_作,char_權,char_登,char_錄,char_濟,char_者,char_新,char_渡,char_戶,char_稻,char_造,char_東,char_京,char_市,char_小,char_石,char_川,char_區,char_向,char_臺,char_町,char_丁,char_目,char_七,char_番,char_地,char_櫻,char_井,char_彥,char_郎,char_牛,char_込,char_ヶ,char_谷,char_加,char_賀,char_刷,char_青,char_木,char_弘,char_所,char_株,char_式,char_會,char_社,char_秀,char_舍,char_工,char_場,char_未,char_出,char_麴,char_ᾧ,char_פּ,char_ŕ,char_ἣ,char_ᾦ,char_ᾕ,char_ᾗ,char_ὧ,char_ὓ,char_ᾥ,char_ἓ,char_ϋ,char_ᾀ,char_ΐ,char_ʹ,char_ᾐ,char_ῄ,char_ᾂ,char_چ,char_ė,char_ᚮ,char_ǣ,char_ʔ,char_ŋ,char_ǎ,char_ǐ,char_ə,char_ř,char_ᵏ,char_ǹ,char_ک,char_卍,char_丞,char_相,char_省,char_站,char_ỹ,char_ỳ,char_ś,char_ʻ,char_ᵀ,char_כּ,char_שׁ,char_ץ,char_ᵃ,char_б,char_а,char_я,char_г,char_ﬠ,char_ₙ,char_ₘ,char_ł,char_ϐ,char_ɣ,char_ὣ,char_ı,char_ℳ,char_ῂ,char_ΰ,char_ᾤ,char_ć,char_ő,char_ű,char_ȣ,char_о,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_ь,char_м,char_ч,char_ы,char_з,char_ш,char_ж,char_й,char_х,char_ю,char_ц,char_ф,char_щ,char_э,char_ъ
Catalan,12.77,12.44,7.64,6.93,6.85,6.63,6.48,6.31,5.3,4.05,3.82,3.37,3.06,2.57,1.65,1.54,1.45,1.17,1.04,0.95,0.51,0.48,0.47,0.43,0.35,0.29,0.27,0.21,0.21,0.19,0.15,0.1,0.06,0.04,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,15.93,8.4,5.24,7.46,5.46,7.69,4.48,6.91,4.81,2.14,6.73,0.6,3.14,1.42,2.57,4.8,1.41,1.99,2.48,0.0,0.0,0.01,0.65,0.07,1.07,,0.0,0.18,0.0,,,2.7,,0.0,0.01,0.0,0.0,0.76,0.74,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,18.79,7.11,3.66,10.38,6.46,6.12,3.6,6.14,6.15,1.75,6.1,1.41,2.21,1.27,2.32,3.28,1.48,0.73,3.23,0.01,0.0,0.03,0.12,0.02,1.74,0.0,0.01,1.8,0.0,0.0,0.0,2.27,0.0,0.0,1.59,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch (Nederlands),18.05,6.28,4.18,9.05,7.16,6.36,3.62,7.22,6.63,2.16,5.29,2.63,2.5,1.33,1.91,3.22,1.52,1.21,4.02,0.03,,0.0,0.6,0.05,1.3,,0.01,1.87,0.0,0.0,,1.12,,0.0,0.52,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,12.31,8.18,6.33,7.08,7.11,6.14,4.05,9.04,7.61,2.87,4.09,2.83,2.63,1.94,1.0,1.98,1.57,2.32,5.61,0.11,0.0,0.0,1.85,0.18,0.17,0.0,0.0,2.0,0.0,0.0,0.0,0.71,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English and Latin,12.57,7.67,6.87,6.94,7.43,5.79,3.5,9.46,7.83,3.06,3.73,2.71,2.4,1.86,1.14,1.65,1.61,2.45,6.24,0.1,,0.0,1.91,0.27,0.13,,,2.04,,,,0.43,,0.0,0.03,,,,0.04,0.0,,0.0,,0.0,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English and Maori,12.34,9.44,5.31,6.69,6.95,6.4,2.96,9.38,7.91,3.09,3.79,2.35,2.49,1.95,0.77,2.1,1.33,2.49,6.4,0.07,0.0,0.0,1.51,0.1,0.09,,,2.27,,,,1.37,,,0.03,0.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,0.02,0.01,0.01,0.01,0.0,0.0,,0.02,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.01,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"English, Middle (1100-1500)",15.35,6.75,6.06,6.45,5.14,5.76,4.3,8.16,7.54,2.66,4.41,2.1,2.2,1.15,0.64,1.87,1.79,2.5,5.71,0.15,0.0,0.01,3.44,0.14,0.1,,,2.39,,,,1.09,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,8.3,11.17,6.9,9.42,10.72,2.57,5.7,9.21,4.99,4.77,0.96,0.35,3.23,1.81,2.24,0.31,0.21,0.24,2.62,0.0,0.0,0.01,1.63,0.02,1.72,,0.0,0.15,0.0,,0.0,4.93,,0.0,0.01,0.0,,0.0,0.0,0.32,0.0,0.0,5.34,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,15.12,7.48,8.09,6.98,7.2,6.67,5.68,7.23,5.49,6.19,3.75,3.12,2.85,2.86,1.58,1.02,0.96,1.1,0.91,1.24,0.39,1.64,0.35,0.42,0.47,,,0.09,0.31,0.0,0.04,0.05,,0.0,0.13,0.0,0.0,,0.0,0.0,,0.05,,0.03,0.0,0.18,0.04,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,0.05,,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
